IPO Date,Symbol,Company Name,IPO Price,Current,Return
"Dec 30, 2021",GMFI,Aetherium Acquisition Corp.,$10.00,$10.00,0.00%
"Dec 28, 2021",WTMA,Welsbach Technology Metals Acquisition Corp.,$10.00,$9.80,-2.00%
"Dec 27, 2021",AOGO,Arogo Capital Acquisition Corp.,$10.00,$10.05,0.50%
"Dec 22, 2021",NXGL,"NexGel, Inc.",$5.50,$2.51,-54.36%
"Dec 22, 2021",GDNR,Gardiner Healthcare Acquisitions Corp.,$10.00,$9.83,-1.70%
"Dec 21, 2021",NVAC,NorthView Acquisition Corporation,$10.00,$9.76,-2.40%
"Dec 21, 2021",LSPR,Larkspur Health Acquisition Corp.,$10.00,$9.94,-0.60%
"Dec 21, 2021",SAGA,Sagaliam Acquisition Corp.,$10.00,$9.95,-0.50%
"Dec 17, 2021",APCA,AP Acquisition Corp,$10.00,$10.09,0.90%
"Dec 17, 2021",RCAC,Revelstone Capital Acquisition Corp.,$10.00,$9.96,-0.40%
"Dec 16, 2021",BNOX,Bionomics Limited,$15.45,$11.80,-23.62%
"Dec 16, 2021",CFFS,CF Acquisition Corp. VII,$10.00,$9.98,-0.20%
"Dec 16, 2021",SHAP,Spree Acquisition Corp. 1 Limited,$10.00,$9.96,-0.40%
"Dec 16, 2021",IMMX,"Immix Biopharma, Inc.",$5.00,$4.03,-19.40%
"Dec 16, 2021",EMLD,FTAC Emerald Acquisition Corp.,$10.00,$9.98,-0.20%
"Dec 16, 2021",SANG,Sangoma Technologies Corporation,$22.68,$13.55,-40.26%
"Dec 16, 2021",ADRT,Ault Disruptive Technologies Corporation,$10.00,$10.03,0.30%
"Dec 15, 2021",IOT,Samsara Inc.,$23.00,$18.51,-19.52%
"Dec 15, 2021",IVCP,Swiftmerge Acquisition Corp.,$10.00,$9.94,-0.60%
"Dec 15, 2021",PRLH,Pearl Holdings Acquisition Corp,$10.00,$9.95,-0.50%
"Dec 15, 2021",EVE,EVe Mobility Acquisition Corp.,$10.00,$10.08,0.80%
"Dec 15, 2021",IVCB,Investcorp Europe Acquisition Corp I,$10.00,$10.09,0.90%
"Dec 15, 2021",BFAC,Battery Future Acquisition Corp.,$10.00,$10.00,0.00%
"Dec 15, 2021",AHRN,Ahren Acquisition Corp.,$10.00,$10.08,0.80%
"Dec 15, 2021",GNTA,Genenta Science S.p.A.,$11.50,$8.12,-29.39%
"Dec 14, 2021",SIDU,"Sidus Space, Inc.",$5.00,$10.44,108.80%
"Dec 14, 2021",KACL,Kairous Acquisition Corp. Limited,$10.00,$9.84,-1.65%
"Dec 14, 2021",VINE,"Fresh Vine Wine, Inc.",$10.00,$4.28,-57.20%
"Dec 13, 2021",BRKH,BurTech Acquisition Corp.,$10.00,$10.01,0.10%
"Dec 13, 2021",ALSA,Alpha Star Acquisition Corporation,$10.00,$9.81,-1.90%
"Dec 10, 2021",TCOA,Trajectory Alpha Acquisition Corp.,$10.00,$9.94,-0.60%
"Dec 10, 2021",ATEK,Athena Technology Acquisition Corp. II,$10.00,$9.78,-2.20%
"Dec 10, 2021",FXCO,Financial Strategies Acquisition Corp.,$10.00,$9.85,-1.50%
"Dec 10, 2021",FRBN,Forbion European Acquisition Corp.,$10.00,$10.05,0.50%
"Dec 10, 2021",XPDB,Power &amp; Digital Infrastructure Acquisition II Corp.,$10.00,$10.10,1.00%
"Dec 10, 2021",GFGD,Growth For Good Acquisition Corporation,$10.00,$9.98,-0.23%
"Dec 10, 2021",PORT,Southport Acquisition Corporation,$10.00,$10.03,0.30%
"Dec 10, 2021",HAIA,Healthcare AI Acquisition Corp.,$10.00,$9.90,-1.00%
"Dec 9, 2021",TGAA,Target Global Acquisition I Corp.,$10.00,$9.98,-0.20%
"Dec 9, 2021",NU,Nu Holdings Ltd.,$9.00,$6.79,-24.56%
"Dec 9, 2021",NRSN,NeuroSense Therapeutics Ltd.,$6.00,$1.77,-70.50%
"Dec 9, 2021",WEL,Integrated Wellness Acquisition Corp.,$10.00,$9.90,-1.00%
"Dec 9, 2021",RJAC,Jackson Acquisition Company,$10.00,$9.97,-0.30%
"Dec 9, 2021",SCUA,Sculptor Acquisition Corp. I,$10.00,$10.10,1.00%
"Dec 9, 2021",IGTA,Inception Growth Acquisition Limited,$10.00,$9.79,-2.10%
"Dec 9, 2021",HORI,Emerging Markets Horizon Corp.,$10.00,$10.04,0.40%
"Dec 9, 2021",GGAA,Genesis Growth Tech Acquisition Corp.,$10.00,$10.05,0.50%
"Dec 9, 2021",HCP,"HashiCorp, Inc.",$80.00,$59.95,-25.06%
"Dec 8, 2021",REFI,"Chicago Atlantic Real Estate Finance, Inc.",$16.00,$19.36,21.00%
"Dec 8, 2021",CING,"Cingulate, Inc.",$6.00,$1.82,-69.67%
"Dec 7, 2021",GLLI,Globalink Investment Inc.,$10.00,$9.83,-1.70%
"Dec 7, 2021",JWAC,Jupiter Wellness Acquisition Corp.,$10.00,$9.87,-1.30%
"Dec 7, 2021",MTVC,Motive Capital Corp II,$10.00,$9.99,-0.15%
"Dec 7, 2021",DAOO,Crypto 1 Acquisition Corp.,$10.00,$9.81,-1.90%
"Dec 7, 2021",APXI,APx Acquisition Corp. I,$10.00,$10.10,1.00%
"Dec 3, 2021",BOCN,Blue Ocean Acquisition Corp.,$10.00,$10.01,0.10%
"Dec 3, 2021",BIOS,BioPlus Acquisition Corp.,$10.00,$9.99,-0.10%
"Dec 3, 2021",STET,ST Energy Transition I Ltd.,$10.00,$9.77,-2.30%
"Dec 3, 2021",BPAC,Bullpen Parlay Acquisition Company,$10.00,$9.84,-1.60%
"Dec 2, 2021",UTAA,UTA Acquisition Corporation,$10.00,$9.83,-1.70%
"Dec 2, 2021",GEEX,Games &amp; Esports Experience Acquisition Corp.,$10.00,$9.96,-0.40%
"Dec 2, 2021",ROC,ROC Energy Acquisition Corp.,$10.00,$9.89,-1.15%
"Dec 1, 2021",CMCA,Capitalworks Emerging Markets Acquisition Corp,$10.00,$9.89,-1.10%
